trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.002, 'e': 0.7603320752608821}",25,4,-40.7862042875671,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 0}",1
138,False,"{'a': 0.002, 'e': 0.7588129307612413}",30,0,-75.24643254757552,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
139,False,"{'a': 0.002, 'e': 0.7572968215143355}",25,0,-57.67421750458274,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
140,False,"{'a': 0.002, 'e': 0.7557837414557255}",30,0,-169.28147718194217,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",1
141,False,"{'a': 0.002, 'e': 0.754273684533089}",30,0,-25.45382707514248,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
142,False,"{'a': 0.002, 'e': 0.7527666447061963}",20,0,-68.74915715104873,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
143,False,"{'a': 0.002, 'e': 0.751262615946886}",25,0,-114.57761528979042,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
144,False,"{'a': 0.002, 'e': 0.7497615922390413}",25,0,-99.00935675417226,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
145,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,0,-132.04717806588638,"{0: 18, 1: 3, 2: 0, 3: 1, 4: 3}",0
146,False,"{'a': 0.002, 'e': 0.7467685359733571}",20,0,-101.71537370445809,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
147,False,"{'a': 0.002, 'e': 0.7452764914432887}",20,0,-56.594729122722846,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
148,False,"{'a': 0.002, 'e': 0.7437874280201796}",25,17,-9.706925773003807,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.002, 'e': 0.7423013397477743}",25,5,-72.85352920055217,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",1
150,False,"{'a': 0.002, 'e': 0.7408182206817179}",25,0,-89.2111631594068,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
151,False,"{'a': 0.002, 'e': 0.7393380648895319}",20,2,-74.12708127535001,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
152,False,"{'a': 0.002, 'e': 0.7378608664505911}",30,0,-108.95589910313385,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
153,False,"{'a': 0.002, 'e': 0.7363866194561001}",25,0,-133.3433224286071,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
154,False,"{'a': 0.002, 'e': 0.7349153180090687}",20,0,-149.2732909705681,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
155,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,0,-14.729281008370677,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
156,False,"{'a': 0.002, 'e': 0.7319815282283126}",20,2,-30.012304318781844,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
157,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,0,-65.60356826520366,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
158,False,"{'a': 0.002, 'e': 0.7290594501676237}",30,0,-29.404877851675522,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
159,False,"{'a': 0.002, 'e': 0.7276027884145955}",20,10,-62.90283115242681,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
160,False,"{'a': 0.002, 'e': 0.7261490370736909}",20,16,8.389416791577426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.002, 'e': 0.7246981903299029}",20,0,-106.47002967983906,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
162,False,"{'a': 0.002, 'e': 0.7232502423798424}",20,12,-1.599386977448823,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.002, 'e': 0.7218051874317158}",20,7,-32.99540690221649,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
164,False,"{'a': 0.002, 'e': 0.7203630197053014}",20,7,-8.335600438905574,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.002, 'e': 0.7189237334319262}",20,6,-31.999204426950474,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.002, 'e': 0.7174873228544433}",25,0,-110.84650544897862,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
167,False,"{'a': 0.002, 'e': 0.7160537822272085}",30,0,-47.43342342617578,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 0}",0
168,False,"{'a': 0.002, 'e': 0.7146231058160573}",35,13,-9.61404644353011,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
169,False,"{'a': 0.002, 'e': 0.7131952878982822}",30,0,-57.296744463389324,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
170,False,"{'a': 0.002, 'e': 0.7117703227626097}",25,0,-35.28905620197958,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
171,False,"{'a': 0.002, 'e': 0.7103482047091773}",20,8,-11.162889050245377,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
